"Timestep","dry","flooded","intermediate","moist"
0,123577.489946293,96481.106644395,115634.24692163,96481.1066443949
5,126372.15589797,90417.4616456461,115122.28671416,93411.1790311967
10,129237.109906268,86921.7954517424,114841.087410956,90824.5617572629
15,132189.594110067,85148.2532734438,114805.463604809,88704.4985036423
20,135235.35135107,84685.062844587,115025.44506525,87034.5861877689
25,138397.738558762,85147.7883995854,115514.820190055,85798.0846657064
30,141698.858991888,86817.3355625948,116291.035813215,84978.6340051428
35,145157.468840409,89263.9257035757,117357.41688348,84559.0755699448
40,148794.264627504,92787.8747919601,118731.375850026,84521.9962172727
45,152632.762473706,97015.4600374718,120417.066298082,84850.2914185583
50,156703.724584132,101851.887526327,122418.159782373,85521.4544274652
55,161020.56797014,107307.526379669,124750.49484968,86522.7421821115
60,165619.685018773,113680.109378806,127424.749978001,87840.9823655678
65,170522.123915522,120322.074799315,130443.489098358,89457.2682977775
70,175703.290964477,127063.325896762,133814.243812316,91358.3300513377
75,181070.821592775,133828.443265789,137541.632625308,93528.6977010444
80,186548.58582262,137075.303082538,141644.527446241,95959.3133414133
85,192602.395496058,143489.938723414,146111.525443692,98629.887026419
90,198980.146630098,148874.580870026,150852.132486253,101537.75478503
95,205576.612148843,152034.235940489,155817.647554809,104663.734572529
100,212432.61423691,157354.13845322,160929.117592134,108008.197796738
