"","DBH_class","SP","Density_per_ha"
"1",5.5,"GES",1
"2",6.5,"BAH",1
"3",7.5,"BAH",1
"4",7.5,"WLI",2
"5",7.5,"UL",1
"6",8.5,"BAH",1
"7",8.5,"HBU",1
"8",8.5,"WLI",1
"9",9.5,"WLI",2
"10",9.5,"UL",1
"11",10.5,"SAH",1
"12",10.5,"BAH",1
"13",10.5,"UL",1
"14",11.5,"SAH",1
"15",11.5,"WLI",3
"16",12.5,"WLI",1
"17",13.5,"BAH",1
"18",13.5,"WLI",1
"19",13.5,"UL",1
"20",14.5,"BAH",1
"21",14.5,"WLI",1
"22",14.5,"UL",1
"23",16.5,"HBU",1
"24",16.5,"UL",2
"25",17.5,"HBU",1
"26",17.5,"UL",1
"27",18.5,"HBU",2
"28",18.5,"WLI",1
"29",19.5,"HBU",1
"30",20.5,"HBU",1
"31",20.5,"WLI",1
"32",20.5,"UL",1
"33",25.5,"HBU",1
"34",25.5,"SEI",1
"35",26.5,"HBU",1
"36",27.5,"HBU",2
"37",27.5,"SEI",1
"38",28.5,"HBU",4
"39",29.5,"HBU",2
"40",29.5,"UL",1
"41",30.5,"HBU",1
"42",30.5,"SEI",1
"43",30.5,"WLI",1
"44",31.5,"HBU",1
"45",31.5,"SEI",3
"46",32.5,"SAH",1
"47",32.5,"SEI",3
"48",33.5,"HBU",1
"49",34.5,"HBU",3
"50",34.5,"SEI",2
"51",35.5,"HBU",2
"52",35.5,"SEI",1
"53",37.5,"HBU",1
"54",37.5,"GES",1
"55",37.5,"SEI",2
"56",37.5,"WLI",1
"57",38.5,"HBU",1
"58",38.5,"SEI",1
"59",39.5,"HBU",1
"60",39.5,"SEI",1
"61",40.5,"SEI",1
"62",41.5,"SEI",2
"63",42.5,"SEI",1
"64",43.5,"HBU",1
"65",43.5,"SEI",1
"66",44.5,"SEI",1
"67",46.5,"HBU",1
"68",46.5,"SEI",3
"69",48.5,"HBU",1
"70",48.5,"SEI",4
"71",49.5,"HBU",1
"72",50.5,"HBU",2
"73",51.5,"SEI",1
"74",52.5,"SEI",1
"75",55.5,"GES",1
"76",64.5,"SEI",1
"77",68.5,"GES",1
"78",71.5,"SEI",1
"79",85.5,"SEI",1
"80",111.5,"SEI",1
"81",112.5,"SEI",1
