numtrees,ba,timb_vol,maxdbh,densVLT,totcarea,Dstar,numcohorts,time
454.7369999999997,25.399733552673148,NA,90.5,2.1264,11559.607351863986,5.5,291,0
499.9756835676593,24.131398914450102,NA,92.21323529411765,2.548500470727744,11481.306708392332,5,297,5
547.7243114309296,23.60007005726249,NA,93.9264705882353,3.261293518089624,11742.530123327919,5,304,10
594.7827840491002,23.532718912244633,NA,95.63970588235296,3.790627082512746,12190.404168569272,5,311,15
640.7213985561946,23.826129149552493,NA,97.35294117647061,3.7462152504217228,12768.343916070286,5,318,20
685.1614990700159,24.375445806031877,NA,101.62500000000003,4.406058700476391,13432.389579371124,5,307,25
726.7855230612864,25.28735063702991,NA,107.65000000000003,5.214995240472619,14191.639456834766,5,311,30
767.2216365809969,26.39770199515746,NA,113.67500000000004,6.064243715673811,15012.151268192483,7.46875,310,35
809.6034588954303,27.878150090623848,NA,119.70000000000005,6.277830265319891,15979.55397382311,10.32687165775401,314,40
850.3961679207681,29.535443473923618,NA,125.72500000000005,6.332278040998886,16999.406118450832,12.040106951871659,320,45
889.4495006609275,31.352746191695644,NA,131.75000000000006,6.3489939687161305,18067.44312275773,12.227272727272723,327,50
927.8686741068825,33.39221331873148,NA,137.77500000000006,6.2933523893976355,19206.68362752154,14.034090909090903,334,55
906.5467425757777,35.68643611597217,NA,143.80000000000007,6.027615617632329,20000,15.747326203208551,340,60
797.6699601234484,37.59644480634007,NA,149.82500000000007,5.993742251598058,20000,17.4605614973262,343,65
710.8338677416818,39.67622189686522,NA,155.85000000000008,5.593907134065427,20000,19.17379679144385,342,70
634.263695461763,41.70262915289433,NA,161.87500000000009,5.150347770407022,20000,20.98061497326203,337,75
570.310025581774,43.08491475647936,NA,148.90000000000006,5.671854947366456,20000,22.78743315508021,313,80
511.92965214979984,44.35498376983794,NA,154.92500000000007,5.200024464257365,20000,24.500668449197857,308,85
462.15762364641074,45.9015097763041,NA,160.95000000000007,5.55730503239218,20000,26.213903743315505,298,90
421.3778379517139,46.57415661843909,NA,159.97500000000008,4.676913155099948,20000,29.172459893048142,258,95
385.74813001610545,47.20685888450229,NA,166.00000000000009,5.0908639654930585,20000,30.88569518716579,258,100
